id,Marca,Modelo,Ano,Valor,Codigo Fipe
ATALA - MASTER 50cc - 2002,ATALA,MASTER 50cc,2002,R$ 1.540,00, 829001-6
ATALA - MASTER 50cc - 2000,ATALA,MASTER 50cc,2000,R$ 1.268,00, 829001-6
ADLY - JAGUAR JT 100 - 1997,ADLY,JAGUAR JT 100,1997,R$ 1.759,00, 840007-5
ATALA - CALIFFONE 50cc - 2003,ATALA,CALIFFONE 50cc,2003,R$ 1.504,00, 829002-4
ATALA - CALIFFONE 50cc - 2002,ATALA,CALIFFONE 50cc,2002,R$ 1.270,00, 829002-4
BEE - BEE 200cc GT - 2019,BEE,BEE 200cc GT,2019,R$ 13.690,00, 886005-0
BEE - Monaco 150cc - 2019,BEE,Monaco 150cc,2019,R$ 10.929,00, 886004-1
BEE - BEE 200cc Royale - 2016,BEE,BEE 200cc Royale,2016,R$ 11.698,00, 886003-3
ATALA - CALIFFONE 50cc - 2000,ATALA,CALIFFONE 50cc,2000,R$ 942,00, 829002-4
ATALA - MASTER 50cc - 2001,ATALA,MASTER 50cc,2001,R$ 1.314,00, 829001-6
ATALA - CALIFFONE 50cc - 2001,ATALA,CALIFFONE 50cc,2001,R$ 1.059,00, 829002-4
ADLY - JAGUAR JT 100 - 1999,ADLY,JAGUAR JT 100,1999,R$ 2.009,00, 840007-5
ADLY - JAGUAR JT 100 - 1996,ADLY,JAGUAR JT 100,1996,R$ 1.593,00, 840007-5
BEE - Monaco 150cc - 2020,BEE,Monaco 150cc,2020,R$ 11.918,00, 886004-1
BEE - BEE 200cc Royale - 2017,BEE,BEE 200cc Royale,2017,R$ 14.001,00, 886003-3
AMAZONAS - AME-110 MIX - 2009,AMAZONAS,AME-110 MIX,2009,R$ 2.152,00, 855004-2
BEE - BEE 200cc Royale - 2020,BEE,BEE 200cc Royale,2020,R$ 16.471,00, 886003-3
APRILIA - CLASSIC 50cc - 2000,APRILIA,CLASSIC 50cc,2000,R$ 3.225,00, 802002-7
APRILIA - CLASSIC 50cc - 1998,APRILIA,CLASSIC 50cc,1998,R$ 3.027,00, 802002-7
APRILIA - MOTO 650cc - 2000,APRILIA,MOTO 650cc,2000,R$ 15.444,00, 802004-3
AGRALE - ELEFANTRE 30.0 ES 190cc - 1998,AGRALE,ELEFANTRE 30.0 ES 190cc,1998,R$ 3.857,00, 801009-9
AGRALE - ELEFANTRE 30.0 ES 190cc - 1991,AGRALE,ELEFANTRE 30.0 ES 190cc,1991,R$ 2.195,00, 801009-9
APRILIA - PEGASO 650cc - 2001,APRILIA,PEGASO 650cc,2001,R$ 13.169,00, 802005-1
AGRALE - ELEFANTRE 30.0 ES 190cc - 1996,AGRALE,ELEFANTRE 30.0 ES 190cc,1996,R$ 3.101,00, 801009-9
APRILIA - RSV MILLE 1000cc - 2000,APRILIA,RSV MILLE 1000cc,2000,R$ 21.568,00, 802009-4
APRILIA - MOTO 650cc - 1998,APRILIA,MOTO 650cc,1998,R$ 13.233,00, 802004-3
APRILIA - RS 50cc - 2000,APRILIA,RS 50cc,2000,R$ 5.289,00, 802008-6
APRILIA - MOTO 650cc - 1999,APRILIA,MOTO 650cc,1999,R$ 13.774,00, 802004-3
APRILIA - SR RACE 150cc - 2017,APRILIA,SR RACE 150cc,2017,R$ 15.993,00, 802018-3
APRILIA - LEONARDO 150cc - 1998,APRILIA,LEONARDO 150cc,1998,R$ 4.714,00, 802003-5
APRILIA - RSV MILLE 1000cc - 1999,APRILIA,RSV MILLE 1000cc,1999,R$ 19.958,00, 802009-4
AGRALE - ELEFANTRE 30.0 ES 190cc - 1993,AGRALE,ELEFANTRE 30.0 ES 190cc,1993,R$ 2.321,00, 801009-9
AGRALE - ELEFANTRE 30.0 ES 190cc - 1995,AGRALE,ELEFANTRE 30.0 ES 190cc,1995,R$ 2.705,00, 801009-9
AGRALE - ELEFANTRE 30.0 ES 190cc - 1992,AGRALE,ELEFANTRE 30.0 ES 190cc,1992,R$ 2.257,00, 801009-9
APRILIA - LEONARDO 150cc - 2000,APRILIA,LEONARDO 150cc,2000,R$ 5.731,00, 802003-5
AGRALE - ELEFANTRE 30.0 ES 190cc - 1997,AGRALE,ELEFANTRE 30.0 ES 190cc,1997,R$ 3.750,00, 801009-9
APRILIA - RS 50cc - 1999,APRILIA,RS 50cc,1999,R$ 5.142,00, 802008-6
AGRALE - ELEFANTRE 30.0 ES 190cc - 1990,AGRALE,ELEFANTRE 30.0 ES 190cc,1990,R$ 2.134,00, 801009-9
AGRALE - ELEFANTRE 30.0 ES 190cc - 1994,AGRALE,ELEFANTRE 30.0 ES 190cc,1994,R$ 2.630,00, 801009-9
APRILIA - SR RACE 150cc - 2020,APRILIA,SR RACE 150cc,2020,R$ 18.515,00, 802018-3
APRILIA - PEGASO 650cc - 1998,APRILIA,PEGASO 650cc,1998,R$ 8.742,00, 802005-1
APRILIA - CLASSIC 50cc - 1999,APRILIA,CLASSIC 50cc,1999,R$ 3.136,00, 802002-7
APRILIA - LEONARDO 150cc - 1999,APRILIA,LEONARDO 150cc,1999,R$ 5.456,00, 802003-5
APRILIA - RS 50cc - 2001,APRILIA,RS 50cc,2001,R$ 5.938,00, 802008-6
AGRALE - CITY 50 - 2001,AGRALE,CITY 50,2001,R$ 1.785,00, 801002-1
AGRALE - CITY 90 - 1999,AGRALE,CITY 90,1999,R$ 2.176,00, 801003-0
AGRALE - CITY 50 - 2000,AGRALE,CITY 50,2000,R$ 1.658,00, 801002-1
AGRALE - CITY 90 - 1997,AGRALE,CITY 90,1997,R$ 1.742,00, 801003-0
AGRALE - DAKAR 30.0 190cc - 1994,AGRALE,DAKAR 30.0 190cc,1994,R$ 2.044,00, 801004-8
AGRALE - ELEFANT 16.5 125cc - 1990,AGRALE,ELEFANT 16.5 125cc,1990,R$ 1.422,00, 801007-2
BIMOTA - DB6R Delirio 1078cc - 2009,BIMOTA,DB6R Delirio 1078cc,2009,R$ 45.921,00, 828005-3
BIMOTA - DB6R Delirio 1078cc - 2008,BIMOTA,DB6R Delirio 1078cc,2008,R$ 43.920,00, 828005-3
BIMOTA - DB6R Delirio 1078cc - 2011,BIMOTA,DB6R Delirio 1078cc,2011,R$ 49.737,00, 828005-3
BIMOTA - DB6 Delirio 1078cc - 2010,BIMOTA,DB6 Delirio 1078cc,2010,R$ 43.020,00, 828006-1
AGRALE - CITY 50 - 1997,AGRALE,CITY 50,1997,R$ 1.365,00, 801002-1
AGRALE - CITY 50 - 1999,AGRALE,CITY 50,1999,R$ 1.538,00, 801002-1
BIMOTA - DB6 Delirio 1078cc - 2008,BIMOTA,DB6 Delirio 1078cc,2008,R$ 33.947,00, 828006-1
AGRALE - DAKAR 30.0 190cc - 1991,AGRALE,DAKAR 30.0 190cc,1991,R$ 1.359,00, 801004-8
BIMOTA - DB6 Delirio 1078cc - 2009,BIMOTA,DB6 Delirio 1078cc,2009,R$ 40.308,00, 828006-1
FUSCO MOTOSEGURA - CARGA Baú 125cc - 32000,FUSCO MOTOSEGURA,CARGA Baú 125cc,32000,R$ 20.508,00, 887001-2
FUSCO MOTOSEGURA - CARGA Baú 125cc - 2017,FUSCO MOTOSEGURA,CARGA Baú 125cc,2017,R$ 17.312,00, 887001-2
FUSCO MOTOSEGURA - CARGA Baú 125cc - 2019,FUSCO MOTOSEGURA,CARGA Baú 125cc,2019,R$ 19.006,00, 887001-2
FUSCO MOTOSEGURA - CARGA Gás 160cc - 32000,FUSCO MOTOSEGURA,CARGA Gás 160cc,32000,R$ 31.742,00, 887004-7
FUSCO MOTOSEGURA - CARGA Gás 160cc - 2018,FUSCO MOTOSEGURA,CARGA Gás 160cc,2018,R$ 18.277,00, 887004-7
FUSCO MOTOSEGURA - CARGA Gás 160cc - 2022,FUSCO MOTOSEGURA,CARGA Gás 160cc,2022,R$ 26.308,00, 887004-7
DAFRA - NEXT 300cc - 2019,DAFRA,NEXT 300cc,2019,R$ 15.117,00, 861024-0
FUSCO MOTOSEGURA - CARGA Gás 160cc - 2020,FUSCO MOTOSEGURA,CARGA Gás 160cc,2020,R$ 23.252,00, 887004-7
DAYUN - DY200ZH  (triciclo carga) - 2010,DAYUN,DY200ZH  (triciclo carga),2010,R$ 6.577,00, 860009-0
DAFRA - CITYCOM HD 300i - 2020,DAFRA,CITYCOM HD 300i,2020,R$ 22.673,00, 861027-4
DAFRA - CITYCOM HD 300i - 2021,DAFRA,CITYCOM HD 300i,2021,R$ 23.385,00, 861027-4
FUSCO MOTOSEGURA - CARGA Gás 160cc - 2016,FUSCO MOTOSEGURA,CARGA Gás 160cc,2016,R$ 15.160,00, 887004-7
DAFRA - RIVA 150cc - 2015,DAFRA,RIVA 150cc,2015,R$ 5.797,00, 861014-2
