Modelo,Cilindrada,Ano,Valor,valor_fipe,Url,Codigo,cod_fipe,Data,Marca,Quilometragem,diferença_fipe,Município
SUZUKI BURGMAN I 125CC,125,2015,6500,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/suzuki-burgman-1034662638,1034662638,"[{'Codigo': '825056-1', 'id': 'SUZUKI - BURGMAN i 125cc', 'Valor': 8459}, {'Codigo': '825048-0', 'id': 'SUZUKI - BURGMAN 650 EXECUTIVE/ 650', 'Valor': 36196}, {'Codigo': '825033-2', 'id': 'SUZUKI - BURGMAN 400', 'Valor': 27775}]",20/05,SUZUKI,11111111,,Sete Lagoas
DAFRA KANSAS 150,150,2012,6900,5105,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/kansas-2012-com-acessorios-1034661496,1034661496,"[{'Codigo': '861003-7', 'id': 'DAFRA - KANSAS 150', 'Valor': 5105}]",20/05,DAFRA,45646,,Belo Horizonte
HONDA CG 125 FAN / FAN KS / 125 I FAN,125,2011,7000,6767,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/moto-pronta-pro-trabalho-1034660670,1034660670,"[{'Codigo': '811078-6', 'id': 'HONDA - CG 125 FAN / FAN KS / 125 i FAN', 'Valor': 6767}]",20/05,HONDA,0,,Ribeirão das Neves
SUZUKI BURGMAN I 125CC,125,2012,7650,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/suzuki-burgman-125-i-1034658597,1034658597,"[{'Codigo': '825056-1', 'id': 'SUZUKI - BURGMAN i 125cc', 'Valor': 7312}, {'Codigo': '825048-0', 'id': 'SUZUKI - BURGMAN 650 EXECUTIVE/ 650', 'Valor': 30197}, {'Codigo': '825033-2', 'id': 'SUZUKI - BURGMAN 400', 'Valor': 20564}]",20/05,SUZUKI,18000,,Belo Horizonte
HONDA BIZ,125,2019,7000,0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/biz-125-2019-1034658246,1034658246,"[{'Codigo': '811137-5', 'id': 'HONDA - BIZ 125/125i Flex', 'Valor': 14016}, {'Codigo': '811138-3', 'id': 'HONDA - BIZ 110i', 'Valor': 11150}]",20/05,HONDA,2000,,Ibirité
YAMAHA FAZER,250,2013,7800,12399,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fazer-250-2013-1034657969,1034657969,"[{'Codigo': '827052-0', 'id': 'YAMAHA - YS 250 FAZER/ FAZER L. EDITION /BLUEFLEX', 'Valor': 12399}]",20/05,YAMAHA,35000,,Ibirité
HONDA CG 150 TITAN-ESD/ TITAN SPECIAL EDITION,150,2008,7800,8278,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/titan-esd-1034656354,1034656354,"[{'Codigo': '811072-7', 'id': 'HONDA - CG 150 TITAN-ESD/ TITAN SPECIAL EDITION', 'Valor': 8278}]",20/05,HONDA,76000,,Ibirité
HONDA CG 150 FAN ESDI/ 150 FAN ESDI FLEX,150,2014,9000,10146,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/fan-150-2014-1034653640,1034653640,"[{'Codigo': '811105-7', 'id': 'HONDA - CG 150 FAN ESDi/ 150 FAN ESDi FLEX', 'Valor': 10146}]",20/05,HONDA,38000,,Santa Luzia
HONDA NXR 150 BROS KS,150,2012,10000,9067,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/nxr-bros-150-1034651683,1034651683,"[{'Codigo': '811102-2', 'id': 'HONDA - NXR 150 BROS KS MIX/FLEX', 'Valor': 9067}]",20/05,HONDA,53000,,Nova Lima
HONDA CG 150 FAN ESDI/ 150 FAN ESDI FLEX,150,2011,10000,8800.0,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/motos/cg150-fan-esdi-1034650066,1034650066,"[{'Codigo': '811101-4', 'id': 'HONDA - CG 150 FAN ESi/ 150 FAN ESi FLEX', 'Valor': 8796}, {'Codigo': '811105-7', 'id': 'HONDA - CG 150 FAN ESDi/ 150 FAN ESDi FLEX', 'Valor': 8804}]",20/05,HONDA,65000,,Belo Horizonte
